Day,Psalm,Pentateuch + Former,Prophets + Writings,New Testament
11/29,"1,2,3,4,5,6,7,8",Gen 1-11,Isa 1-12,Matthew
11/30,"9,10,11,12,13,14",Gen 12-25,Isa 13-39,Mark
12/1,"15,16,17,18",Gen 26-50,Isa 40-66,John
12/2,"19,20,21,22,23",Ex 1-20,Ezek 1-11,Luke 1-9
12/3,"24,25,26,27,28,29",Ex 21-40,Ezek 12-33,Luke 10-24
12/4,"30,31,32,33,34",Lev 1-17,Ezek 34-48,Acts 1-12
12/5,"35,36,37",Lev 18-27,Jeremiah 1-24,Acts 13-28
12/6,"38,39,40,41,42,43",Num 1-19,Jeremiah 25-45,Romans
12/7,"44,45,46,47,48,49",Num 20-36,Jeremiah 46-51,Galatians
12/8,"50,51,52,53,54,55",Deut 1-11,"Hosea,Amos",Ephesians
12/9,"56,57,58,59,60,61",Deut 12-26,"Joel,Obadiah",1 Corinthians
12/10,"62,63,64,65,66,67",Deut 27-34,"Jonah,Michah",2 Corinthians
12/11,"68,69,70,71,72,73,74",Joshua 1-12,"Nahum,Habakkuk",1 Thessalonians
12/12,"74,75,76,77,78",Joshua 13-24,"Zephaniah, Haggai",2 Thessalonians
12/13,"79,80,81,82,83,84,85",Judges,"Zechariah,Malachi",Philippians
12/14,"86,87,88,89",1 Sam 1-16,Proverbs,Colossians
12/15,"90,91,92,93,94",1 Sam 17-31,"Song of Songs,Ruth",1 Timothy
12/16,"95,96,97,98,99,100,101",2 Sam 1-10,Ecclesiastes,2 Timothy
12/17,"102,103,104,105,106",2 Sam 11-24,"Ezra,Nehemiah",Titus
12/18,"107,108,109",1 Kings 1-11,Esther,Hebrews
12/19,"110,111,112,113,114,115",1 Kings 17-22,Daniel,Philemon
12/20,"116,117,118,119",2 Kings 1-8,1 Chron 1-9,James
12/21,"120,121,122,123,124,125,126,127,128,129,130,131",2 Kings 18-25,1 Chron 10-21,1 Peter
12/22,"132,133,134,135,136,137,138",Lamentations,1 Chron 22-29,2 Peter
12/23,"139,140,141,142,143",Job 1-32,2 Chron 1-18,Jude
12/24,"144,145,146,147,148,149,150",Job 33-42,2 Chron 18-26,Revelation
